"Statistic Label","Census Year","List of Towns","Sex","UNIT","VALUE"
"Population","2022","Hacketstown, Co Carlow","Both sexes","Number","653"
"Population","2022","Hacketstown, Co Carlow","Male","Number","337"
"Population","2022","Hacketstown, Co Carlow","Female","Number","316"
"Population","2022","Clonegall, Co Carlow","Both sexes","Number","249"
"Population","2022","Clonegall, Co Carlow","Male","Number","124"
"Population","2022","Clonegall, Co Carlow","Female","Number","125"
"Population","2022","Kildavin, Co Carlow","Both sexes","Number","207"
"Population","2022","Kildavin, Co Carlow","Male","Number","104"
"Population","2022","Kildavin, Co Carlow","Female","Number","103"
"Population","2022","Rathvilly, Co Carlow","Both sexes","Number","1074"
"Population","2022","Rathvilly, Co Carlow","Male","Number","513"
"Population","2022","Rathvilly, Co Carlow","Female","Number","561"
"Population","2022","Tullow, Co Carlow","Both sexes","Number","5138"
"Population","2022","Tullow, Co Carlow","Male","Number","2454"
"Population","2022","Tullow, Co Carlow","Female","Number","2684"
"Population","2022","Ballon, Co Carlow","Both sexes","Number","801"
"Population","2022","Ballon, Co Carlow","Male","Number","397"
"Population","2022","Ballon, Co Carlow","Female","Number","404"
"Population","2022","Myshall, Co Carlow","Both sexes","Number","292"
"Population","2022","Myshall, Co Carlow","Male","Number","134"
"Population","2022","Myshall, Co Carlow","Female","Number","158"
"Population","2022","Rathtoe, Co Carlow","Both sexes","Number","296"
"Population","2022","Rathtoe, Co Carlow","Male","Number","131"
"Population","2022","Rathtoe, Co Carlow","Female","Number","165"
"Population","2022","Fennagh, Co Carlow","Both sexes","Number","479"
"Population","2022","Fennagh, Co Carlow","Male","Number","240"
"Population","2022","Fennagh, Co Carlow","Female","Number","239"
"Population","2022","Palatine, Co Carlow","Both sexes","Number","276"
"Population","2022","Palatine, Co Carlow","Male","Number","136"
"Population","2022","Palatine, Co Carlow","Female","Number","140"
"Population","2022","Kernanstown, Co Carlow","Both sexes","Number","269"
"Population","2022","Kernanstown, Co Carlow","Male","Number","141"
"Population","2022","Kernanstown, Co Carlow","Female","Number","128"
"Population","2022","Tinryland, Co Carlow","Both sexes","Number","338"
"Population","2022","Tinryland, Co Carlow","Male","Number","164"
"Population","2022","Tinryland, Co Carlow","Female","Number","174"
"Population","2022","Borris, Co Carlow","Both sexes","Number","702"
"Population","2022","Borris, Co Carlow","Male","Number","331"
"Population","2022","Borris, Co Carlow","Female","Number","371"
"Population","2022","Carlow, Counties Carlow & Laois","Both sexes","Number","27351"
"Population","2022","Carlow, Counties Carlow & Laois","Male","Number","13517"
"Population","2022","Carlow, Counties Carlow & Laois","Female","Number","13834"
"Population","2022","Muinebeag (Bagenalstown), Co Carlow","Both sexes","Number","2945"
"Population","2022","Muinebeag (Bagenalstown), Co Carlow","Male","Number","1483"
"Population","2022","Muinebeag (Bagenalstown), Co Carlow","Female","Number","1462"
"Population","2022","Leighlinbridge, Co Carlow","Both sexes","Number","959"
"Population","2022","Leighlinbridge, Co Carlow","Male","Number","494"
"Population","2022","Leighlinbridge, Co Carlow","Female","Number","465"
"Population","2022","Ballinabrannagh, Co Carlow","Both sexes","Number","557"
"Population","2022","Ballinabrannagh, Co Carlow","Male","Number","286"
"Population","2022","Ballinabrannagh, Co Carlow","Female","Number","271"
"Population","2022","Dublin city and suburbs, Counties Dublin & Meath","Both sexes","Number","1263219"
"Population","2022","Dublin city and suburbs, Counties Dublin & Meath","Male","Number","617420"
"Population","2022","Dublin city and suburbs, Counties Dublin & Meath","Female","Number","645799"
"Population","2022","Saggart, Co Dublin","Both sexes","Number","4573"
"Population","2022","Saggart, Co Dublin","Male","Number","2581"
"Population","2022","Saggart, Co Dublin","Female","Number","1992"
"Population","2022","Brittas, Co Dublin","Both sexes","Number","166"
"Population","2022","Brittas, Co Dublin","Male","Number","91"
"Population","2022","Brittas, Co Dublin","Female","Number","75"
"Population","2022","Rathcoole, Co Dublin","Both sexes","Number","5792"
"Population","2022","Rathcoole, Co Dublin","Male","Number","2885"
"Population","2022","Rathcoole, Co Dublin","Female","Number","2907"
"Population","2022","Newcastle, Co Dublin","Both sexes","Number","4526"
"Population","2022","Newcastle, Co Dublin","Male","Number","2177"
"Population","2022","Newcastle, Co Dublin","Female","Number","2349"
"Population","2022","Loughshinny, Co Dublin","Both sexes","Number","741"
"Population","2022","Loughshinny, Co Dublin","Male","Number","346"
"Population","2022","Loughshinny, Co Dublin","Female","Number","395"
"Population","2022","Rush, Co Dublin","Both sexes","Number","10875"
"Population","2022","Rush, Co Dublin","Male","Number","5294"
"Population","2022","Rush, Co Dublin","Female","Number","5581"
"Population","2022","Portrane, Co Dublin","Both sexes","Number","1262"
"Population","2022","Portrane, Co Dublin","Male","Number","632"
"Population","2022","Portrane, Co Dublin","Female","Number","630"
"Population","2022","Skerries, Co Dublin","Both sexes","Number","10743"
"Population","2022","Skerries, Co Dublin","Male","Number","5185"
"Population","2022","Skerries, Co Dublin","Female","Number","5558"
"Population","2022","Portmarnock, Co Dublin","Both sexes","Number","10750"
"Population","2022","Portmarnock, Co Dublin","Male","Number","5251"
"Population","2022","Portmarnock, Co Dublin","Female","Number","5499"
"Population","2022","Donabate, Co Dublin","Both sexes","Number","9669"
"Population","2022","Donabate, Co Dublin","Male","Number","4752"
"Population","2022","Donabate, Co Dublin","Female","Number","4917"
"Population","2022","Malahide, Co Dublin","Both sexes","Number","18608"
"Population","2022","Malahide, Co Dublin","Male","Number","9114"
"Population","2022","Malahide, Co Dublin","Female","Number","9494"
"Population","2022","Lusk, Co Dublin","Both sexes","Number","8806"
"Population","2022","Lusk, Co Dublin","Male","Number","4317"
"Population","2022","Lusk, Co Dublin","Female","Number","4489"
"Population","2022","Kinsaley, Co Dublin","Both sexes","Number","906"
"Population","2022","Kinsaley, Co Dublin","Male","Number","403"
"Population","2022","Kinsaley, Co Dublin","Female","Number","503"
"Population","2022","Balrothery, Co Dublin","Both sexes","Number","2282"
"Population","2022","Balrothery, Co Dublin","Male","Number","1125"
"Population","2022","Balrothery, Co Dublin","Female","Number","1157"
"Population","2022","Balbriggan, Co Dublin","Both sexes","Number","24322"
"Population","2022","Balbriggan, Co Dublin","Male","Number","11848"
"Population","2022","Balbriggan, Co Dublin","Female","Number","12474"
"Population","2022","Kinsealy-Drinan, Co Dublin","Both sexes","Number","7526"
"Population","2022","Kinsealy-Drinan, Co Dublin","Male","Number","3664"
"Population","2022","Kinsealy-Drinan, Co Dublin","Female","Number","3862"
"Population","2022","Swords, Co Dublin","Both sexes","Number","40776"
"Population","2022","Swords, Co Dublin","Male","Number","20160"
"Population","2022","Swords, Co Dublin","Female","Number","20616"
"Population","2022","Ballyboghil, Co Dublin","Both sexes","Number","855"
"Population","2022","Ballyboghil, Co Dublin","Male","Number","418"
"Population","2022","Ballyboghil, Co Dublin","Female","Number","437"
"Population","2022","Rivermeade, Co Dublin","Both sexes","Number","521"
"Population","2022","Rivermeade, Co Dublin","Male","Number","257"
"Population","2022","Rivermeade, Co Dublin","Female","Number","264"
"Population","2022","Naul, Co Dublin","Both sexes","Number","684"
"Population","2022","Naul, Co Dublin","Male","Number","325"
"Population","2022","Naul, Co Dublin","Female","Number","359"
"Population","2022","Oldtown, Co Dublin","Both sexes","Number","523"
"Population","2022","Oldtown, Co Dublin","Male","Number","275"
"Population","2022","Oldtown, Co Dublin","Female","Number","248"
"Population","2022","Garristown, Co Dublin","Both sexes","Number","619"
"Population","2022","Garristown, Co Dublin","Male","Number","309"
"Population","2022","Garristown, Co Dublin","Female","Number","310"
"Population","2022","Glencullen, Co Dublin","Both sexes","Number","376"
"Population","2022","Glencullen, Co Dublin","Male","Number","186"
"Population","2022","Glencullen, Co Dublin","Female","Number","190"
"Population","2022","Leixlip, Co Kildare","Both sexes","Number","16733"
"Population","2022","Leixlip, Co Kildare","Male","Number","8263"
"Population","2022","Leixlip, Co Kildare","Female","Number","8470"
"Population","2022","Ballyoulster, Co Kildare","Both sexes","Number","523"
"Population","2022","Ballyoulster, Co Kildare","Male","Number","248"
"Population","2022","Ballyoulster, Co Kildare","Female","Number","275"
"Population","2022","Kilteel, Co Kildare","Both sexes","Number","262"
"Population","2022","Kilteel, Co Kildare","Male","Number","140"
"Population","2022","Kilteel, Co Kildare","Female","Number","122"
"Population","2022","Celbridge, Co Kildare","Both sexes","Number","20601"
"Population","2022","Celbridge, Co Kildare","Male","Number","10275"
"Population","2022","Celbridge, Co Kildare","Female","Number","10326"
"Population","2022","Kill, Co Kildare","Both sexes","Number","3818"
"Population","2022","Kill, Co Kildare","Male","Number","1833"
"Population","2022","Kill, Co Kildare","Female","Number","1985"
"Population","2022","Maynooth, Co Kildare","Both sexes","Number","17259"
"Population","2022","Maynooth, Co Kildare","Male","Number","8652"
"Population","2022","Maynooth, Co Kildare","Female","Number","8607"
"Population","2022","Ballymore Eustace, Co Kildare","Both sexes","Number","689"
"Population","2022","Ballymore Eustace, Co Kildare","Male","Number","331"
"Population","2022","Ballymore Eustace, Co Kildare","Female","Number","358"
"Population","2022","Straffan, Co Kildare","Both sexes","Number","1158"
"Population","2022","Straffan, Co Kildare","Male","Number","561"
"Population","2022","Straffan, Co Kildare","Female","Number","597"
"Population","2022","Johnstown, Co Kildare","Both sexes","Number","1320"
"Population","2022","Johnstown, Co Kildare","Male","Number","647"
"Population","2022","Johnstown, Co Kildare","Female","Number","673"
"Population","2022","Naas, Co Kildare","Both sexes","Number","26180"
"Population","2022","Naas, Co Kildare","Male","Number","12870"
"Population","2022","Naas, Co Kildare","Female","Number","13310"
"Population","2022","Sallins, Co Kildare","Both sexes","Number","6269"
"Population","2022","Sallins, Co Kildare","Male","Number","3068"
"Population","2022","Sallins, Co Kildare","Female","Number","3201"
"Population","2022","Kilcock, Counties Kildare & Meath","Both sexes","Number","8674"
"Population","2022","Kilcock, Counties Kildare & Meath","Male","Number","4218"
"Population","2022","Kilcock, Counties Kildare & Meath","Female","Number","4456"
"Population","2022","Rathcoffey, Co Kildare","Both sexes","Number","371"
"Population","2022","Rathcoffey, Co Kildare","Male","Number","182"
"Population","2022","Rathcoffey, Co Kildare","Female","Number","189"
"Population","2022","Brannockstown, Co Kildare","Both sexes","Number","235"
"Population","2022","Brannockstown, Co Kildare","Male","Number","121"
"Population","2022","Brannockstown, Co Kildare","Female","Number","114"
"Population","2022","Clane, Co Kildare","Both sexes","Number","8152"
"Population","2022","Clane, Co Kildare","Male","Number","4008"
"Population","2022","Clane, Co Kildare","Female","Number","4144"
"Population","2022","Two Mile House, Co Kildare","Both sexes","Number","474"
"Population","2022","Two Mile House, Co Kildare","Male","Number","217"
"Population","2022","Two Mile House, Co Kildare","Female","Number","257"
"Population","2022","Carragh, Co Kildare","Both sexes","Number","1006"
"Population","2022","Carragh, Co Kildare","Male","Number","515"
