name,description,county_number,county
Post Office,Post office,Carlow · (059) 913 1783,Carlow
Post Office,Post office,Rathvilly County Carlow · (059) 916 1181,Carlow
Staplestown Road Post Office,Post office,Carlow · (059) 914 2812,Carlow
An Post,Post office,Tullow County Carlow · (059) 915 1256,Carlow
Hacketstsown Post Office,Post office,County Carlow · (059) 647 1101,Carlow
An Post Myshall,Post office,Myshall County Carlow · (059) 915 7630,Carlow
An Post Leighlinbridge,Post office,Leighlinbridge County Carlow · (059) 972 1101,Carlow
An Post Muine Bheag,Post office,County Carlow · (059) 972 1242,Carlow
An Post Borris,Post office,Borris County Carlow · (059) 977 3101,Carlow
Carlow Parcel Collection Post,Post office,Graigue County Laois,Carlow
An Post Old Leighlin,Mailing service,Carlow · (059) 972 1123,Carlow
Hosey's,Post office,Carlow · (059) 913 1562,Carlow
An Post Bilboa,Post office,County Laois (border Carlow),Carlow
Post Office,Post office,Cavan · (049) 433 1745,Cavan
Post Office,Post office,Cavan · (049) 433 1331,Cavan
Post Office,Post office,Ballyheelan County Cavan · (049) 433 6753,Cavan
Post Office,Post office,Mullagh County Cavan · (046) 924 2037,Cavan
An Post Shercock,Post office,County Cavan · (042) 966 9200,Cavan
An Post Virginia,Post office,Virginia County Cavan · (049) 854 7000,Cavan
An Post Kingscourt,Post office,Kingscourt County Cavan · (042) 966 7131,Cavan
Post Office,Post office,Blacklion County Cavan · (071) 985 3001,Cavan
An Post Ballinagh,Post office,Ballinagh County Cavan · (049) 433 7101,Cavan
Dennings Post Office,Post office,Drung County Cavan · (049) 555 3029,Cavan
An Post Ballyconnell,Post office,County Cavan · (049) 952 6201,Cavan
An Post Ballyjamesduff,Post office,Ballyjamesduff County Cavan · (049) 854 4101,Cavan
An Post Ballyhaise,Post office,Ballyhaise County Cavan · (049) 433 8101,Cavan
An Post Mountnugent,Post office,Mount Nugent County Cavan · (049) 854 0100,Cavan
An Post Corroneary,Post office,Cavan · (042) 966 0107,Cavan
An Post Termon,Post office,Virginia County Cavan · (049) 854 4437,Cavan
An Post Canningstown,Post office,Canningstown County Cavan · (042) 966 0101,Cavan
Belturbet Delivery Service Unit An Post,Post office,County Cavan · (049) 952 9010,Cavan
Clarecastle Post Office,Post office,Clarecastle County Clare · (065) 682 8680,Clare
Post Office,Post office,Shannon County Clare · (061) 364 744,Clare
Post Office,Post office,Ennis County Clare · (065) 683 8078,Clare
An Post Kilrush,Post office,Kilrush County Clare · (065) 905 1076,Clare
Post Office,Post office,Fanore County Clare · (065) 707 6131,Clare
Morrisseys Post Office,Post office,County Clare · (065) 905 3003,Clare
An Post Clonroadmore,Post office,Ennis County Clare · (065) 682 0606,Clare
An Post Ennis,Post office,Ennis County Clare · (065) 682 1713,Clare
Post office,Post office,Kilmihill County Clare,Clare
An Post Sixmilebridge,Post office,County Clare · (061) 369 171,Clare
Post Office,Post office,Miltown Malbay County Clare · (065) 708 4001,Clare
Lisdoonvarna Post Office,Post office,Lisdoonvarna County Clare · (065) 707 4110,Clare
An Post Ennistymon,Post office,County Clare,Clare
An Post Market Street,Post office,Ennis County Clare · (065) 682 9697,Clare
Flagmount Post Office,Post office,Flagmount County Clare · (061) 925 055,Clare
An Post Kildysart,Post office,Ennis County Clare · (065) 683 2101,Clare
An Post Ennis Delivery Office,Post office,Ennis County Clare · (065) 684 4738,Clare
An Post Killaloe Post Office,Post office,Killaloe County Clare · (061) 376 111,Clare
An Post Labasheeda,Post office,Ennis County Clare · (065) 683 0128,Clare
An Post Whitegate,Post office,Whitegate County Clare,Clare
Feakle Post Office,Post office,Feakle County Clare · (061) 924 001,Clare
Kilmihill Post Office,Post office,Kilmihill County Clare · (065) 905 0001,Clare
An Post Scarriff,Post office,Scarriff County Clare · (061) 921 001,Clare
An Post Dromindoora,Post office,Caher County Clare · (061) 925 087,Clare
Newmarket on Fergus Post Office,Post office,Newmarket on Fergus County Clare · (061) 368 189,Clare
An Post Doonbeg,Post office,County Clare · (065) 905 5001,Clare
An Post Ballyvaughan,Post office,Ballyvaughan County Clare · (065) 707 7001,Clare
An Post Kilkee,Post office,Kilkee County Clare · (065) 905 6001,Clare
An Post Quilty,Post office,Quilty County Clare · (065) 708 7444,Clare
An Post Shannon Mail Delivery office,Post office,Shannon County Clare,Clare
Post Office,Post office,County Cork · (027) 74003,Cork
Model Farm Road Post Office,Post office,Cork · (021) 454 6111,Cork
Post Office,Post office,Cork · (021) 435 3163,Cork
An Post,Post office,Cork · (021) 488 9101,Cork
An Post Bandon Road,Post office,Cork · (021) 431 6090,Cork
An Post North Main St,Post office,Cork · (021) 427 2761,Cork
Cork north City dsu Cork,Post office,Cork · (021) 422 7120,Cork
An Post Fair Hill,Post office,Cork · (021) 430 5545,Cork
An Post Passage West,Post office,Passage West County Cork · (021) 484 1100,Cork
An Post Glounthaune,Post office,Glounthaune County Cork · (021) 435 1067,Cork
An Post Bishopstown,Post office,Cork · (021) 454 1842,Cork
An Post,Post office,Carrigtwohill County Cork · (021) 488 3101,Cork
An Post,Post office,Cork · (021) 485 1042,Cork
An Post Sunday's Well,Post office,Cork · (021) 430 3854,Cork
An Post,Post office,Cork,Cork
An Post Douglas,Post office,Cork · (021) 489 4875,Cork
An Post Pouladuff Road,Post office,(021) 496 4523,Cork
